person_id,split
person_001,train
person_002,train
person_003,train
person_004,train
person_005,train
person_006,train
person_007,train
person_008,train
person_009,train
person_010,train
person_011,train
person_012,train
person_013,train
person_014,train
person_015,train
person_016,train
person_017,train
person_018,train
person_019,train
person_020,train
person_021,train
person_022,train
person_023,train
person_024,train
person_025,train
person_026,train
person_027,train
person_028,train
person_029,train
person_030,train
person_031,train
person_032,train
person_033,train
person_034,train
person_035,train
person_036,train
person_037,train
person_038,train
person_039,train
person_040,train
person_041,train
person_042,train
person_043,train
person_044,train
person_045,train
person_046,train
person_047,train
person_048,train
person_049,train
person_050,train
person_051,train
person_052,train
person_053,train
person_054,train
person_055,train
person_056,train
person_057,train
person_058,train
person_059,train
person_060,train
person_061,val
person_062,val
person_063,val
person_064,val
person_065,val
person_066,val
person_067,val
person_068,val
person_069,test
person_070,test
person_071,test
person_072,test
person_073,test
person_074,test
person_075,test
