name,hex
Deep Maroon,#D62559
Golden Brick,#E5B262
Lime Green,#8CCD48
Sage Green #356A40,#356A40
Deep Sapphire Blue,#0618DE
Scarlet Red,#AD0615
Burnt Sienna,#C45833
F9EDB7 (Golden Sand),#F9EDB7
Maroon Wine,#860956
Sage Green,#269379
Green Sapphire,#49C80D
Chestnut,#96826B
Wine Red or Plum,#5C2E50
Forest Green,#757D1B
Sapphire Blue,#7BA5F8
Indigo (Dark),#1241B9
Dark Redish Brown,#D53834
Red-Orange (Carmine),#C1222B
Magenta Rose,#E85CA1
DBEBB8 (Light Powder Blue),#DBEBB8
Cadet Blue-Purple,#C8A9E3
Green Turquoise,#44ED78
F9D7A7 (Fuchsia Pinkish Beige),#F9D7A7
Sage Green,#47D685
Teal Blue,#437693
F18D16,#F18D16
Cyan (tint of blue),#24BEE6
Tealish Blue,#65A7AA
Dark Purple-Blue (#1F028E),#1F028E
Indigo Violet,#9516B8
Burnt Sienna,#86521C
Medium Purple-Lavender,#8763F7
Indigo Deep,#200B43
Sage Green #028A6E,#028A6E
Deep Cobalt Blue,#0524FB
Green Sea (Turquoise Green),#41C25C
Maroon Crimson,#9C1A25
Burnt Sienna,#BF2A0E
Lime Green,#64DA52
Medium Purple-Red,#AA4285
Sage Green,#369933
Brownish Red,#AA6054
Fuschia Magenta,#F276D5
Saffron,#F1F955
#0A6CF4 (Dark Blue Cyan),#0A6CF4
F94806 (Orange-Red),#F94806
Saffron,#BAD10B
Plum Wine,#C56F98
Periwinkle Blue,#B7E9FE
Sapphire Green,#21B572
Medium Purple-Blue,#8968FB
Medium Magenta,#CD91F0
Lime Green,#26D437
Indigo-Violet,#4B47BB
Medium Purple-Red,#BE65EB
Sage Green,#86EB3E
Greenish Blue (Sometimes referred to as Teal),#427E2F
Turquoise,#41E0B5
Red-Purple (Deep Rose),#A1707B
Dark Plum-Brownish Gray,#583E52
Saddle Brown,#8B6453
Tawny Orange,#BC7A3B
Scarlet Red (or sometimes Tangerine),#ED3A13
Wine Red #B4267F,#B4267F
Sienna Brown,#88530E
#197E39 (Hex) or Forest Green (Common Name),#197E39
Sapphire Blue,#59AFB7
E95713,#E95713
Sage Green,#8BCB11
Fuchsia Purple,#DA65FF
Golden Brown,#A46315
Sage Green,#7EBA39
Deep Wine Purple,#550C60
Greenish cyan,#18AB6D
Magenta (or Wine),#99187F
Medium Violet Magenta,#AF4AFC
Greenish-Blue,#B2CA93
Lime Green,#40D938
Medium Cyan-Blue,#668D97
Sage Green,#126B0F
Sapphire Blue,#A3C2EF
#DBEB07 (Decobromo Verdigris),#DBEB07
Indigo (Dark),#1B0861
Greenish Yellow,#327F1D
Sage Green #6BB978,#6BB978
Gold (Vibrant Gold),#FEC865
Sapphire Blue,#ABC6D9
Sapphire Blue,#0A75E1
Lime Green,#26B614
#D00066 (Hex) or Crimson Red (Common Name),#D00066
Fuchsia Violet,#FC3DFF
Honey Gold,#FDC489
Honeydew,#EEDE94
Dark Forest Green,#254619
Medium Purple (Deep Lilac),#8C39B1
Lime Green,#2BD82E
Sea Green,#55BF9A
Indigo,#163568
#5FC92B (Lime Green),#5FC92B
Silver Ochre,#E9E4CF
Sage Green,#47BD88
Deep Cobalt Blue,#3832C2
Red-Brownish Orange (Mahogany),#DF3123
Amethyst,#5B22DB
Lime Green,#CBFE0A
Purple-Red (Raspberry),#D71DC8
Lime Green,#61FDA6
Deep Cobalt Blue,#2857C3
Deep Purple,#8C30E9
Lilac Mauve,#8560F6
Burnt Sienna,#CA4331
Saffron,#ABE748
Indigo (Dark),#2951DE
Forest Green,#018E17
Indigo (#2735C4),#2735C4
Indigo Dusk,#6444D6
Sea Green,#52BE8B
#21ACEB (Cornflower Blue),#21ACEB
Wistful Lilac,#997F98
Fuchsia Violet,#F602EE
Aqua Teal,#01B19A
Green Sea (or Seafoam Green),#5E9B1C
Lime Green,#12FA09
Periwinkle (#B07BE3),#B07BE3
Indigo (Dark),#2042B3
Lime Green #30C705,#30C705
#EEC107 (Eec107),#EEC107
Sage Green,#A7E88E
Goldish Orange,#F0A717
Light Powder Blue,#C6DEEF
Cobalt Blue,#152CDC
Indigo (Dark),#486FC2
Emerald Green #54E599,#54E599
Scarlet Red,#C72C39
Cobalt Blue,#0100D4
Lavender Mauve,#F0DAF9
Dark Navy Blue,#342B45
Maroon-Red (Dark Cherry),#D60C45
Emerald Green,#09B74D
Beige-Brownish Taupe,#B6A392
Green-yellow (Lime),#4FB015
Burnt Sienna,#B77F3D
Burnt Sienna,#C36135
Deep Purple,#7850B0
Salmon,#F6B78A
Lime Green,#89FD2C
Sage Green,#83B566
Sea Green,#659F96
Deep Purple-Magenta (#9A0CAC),#9A0CAC
Maroon 5,#5F001A
Sage Greenish-Yellow,#DBFBDD
Indigo Deep,#3D0385
Indigo (#536DFA),#536DFA
Deep Cobalt,#8684DA
Sapphire Blue Cyan,#6BD1CC
Deep Teal,#5A6886
Saddle Brown,#926535
Forest Green,#0F6936
Dark Forest Green,#254C38
Indigo Deep,#734B97
Fuchsia Rose,#F487CE
Dusky Rose,#D67B87
Maroon 17,#891539
Slate Blue,#948C95
Dark Grayish Green,#373C3F
Medium Purple-Red,#DE54B9
Medium Purple (Dark Lilac),#582881
Green Seafoam,#60B15C
Sage Green,#057465
Maraschino Cherry,#EB5771
Purple-Red (or Wine Red),#7026AA
Saddle Brown,#908C43
Burnt Sienna,#BE5C25
Teal (aquamarine blue),#4EB4B7
Honey Orange,#EF8443
Burnt Sienna,#C4715A
Seafoam Green,#9EED4C
F4B247 (Tangerine Tint),#F4B247
Minty Green (Approximate),#99C852
#2E7A81 (Dodger Blue) or (Deep Sapphire Blue),#2E78A1
Graphite Gray,#564C4C
Sage Green,#5FC422
Deep Cobalt Blue,#5044E0
Deep Purple-Indigo,#49238D
Indigo (Dark),#433797
Lime Green,#46FB40
Honeydew,#F9D8B2
Scarlet Red,#ED5C71
Indigo (Dark),#6D75F2
Wine Red (Dark Rosy),#B5267D
Sage Green,#3C9B88
Turquoise #43E0B2,#43E0B2
Fuchsia Magenta,#FC049A
Lime Green,#52D201
Dark Burgundy,#821A1D
Green Sea,#217B40
Sage Green,#A8E762
Minty Green,#A8C27C
Medium Purple-Red,#8240FD
F6755D (Tawny Orange),#F6755D
Purple-Red (or Magenta-Purple),#D007C6
Indigo Cobalt,#3153C8
Deep Navy Blue,#082897
Fuchsia Magenta,#F603A3
Burgundy,#843626
Emerald Green,#22A570
Emerald Green,#04906F
Wine Red,#9A3B78
Plum Purple,#E04EEC
Mahogany Brown,#625813
Light Sky Blue,#BCF7FA
Scarlet Red,#EF544C
Medium Violet Red,#BE97F0
Deep Magenta,#C948C4
Red Plum (or Wine Red),#A71F53
Burnt Sienna,#C2640C
Sunnyside Yellow,#C2FB40
Emerald Green,#067F71
Maroon 580623,#580623
Magenta Violet,#E159C5
Gold Yellow,#C4AE20
Sapphire Blue,#43A4F5
Seafoam Green,#8AFB9D
Medium Purple,#BE43B7
Sage Green,#BDED4F
Fuchsia Magenta,#F744B4
Golden Brown,#7C7222
Goldenrod,#EA9A3C
Sage Greenish Blue,#99D0B9
Dusky Magenta,#D295D7
Fusion Orange,#F07655
Sage Green,#6E851D
Sky Blue Shade,#71A0CC
Emerald Greenish,#57A16D
Dark Brownish Red,#512E07
Light Pale Greenish-Blue,#F6FAE4
Indigo,#32678B
Green-Blue (Sometimes referred to as teal),#489A7D
Burnt Sienna,#A86175
Deep Cyan,#4D95D7
Sea Green,#85BB91
Caramel,#C8B105
Lime Greenish-Cyan,#9ECC5A
Badab brownish-green,#BADBA3
Flesh Rose,#F9A19E
Sage Green,#0D4B05
Forest Green (Dark),#2A4843
Burgundy,#6E0901
Sage Green,#9CA637
