image_name,model,status,input_width,input_height,native_width,native_height,output_width,output_height,inference_seconds,total_seconds,output_path,error
121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.jpg,Swin2SR_realworld_x4,ok,300,450,1200,1800,683,1024,2.0106,3.278,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.png,
131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.jpg,Swin2SR_realworld_x4,ok,293,450,1172,1800,667,1024,1.6238,3.106,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.png,
164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.jpg,Swin2SR_realworld_x4,ok,300,450,1200,1800,683,1024,1.4934,2.5711,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.png,
178795102-jolie-femme-dans-des-vêtements-à-la-mode-posant-luxe-coiffure-glamour.jpg,Swin2SR_realworld_x4,ok,300,450,1200,1800,683,1024,1.5291,2.9269,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/178795102-jolie-femme-dans-des-vêtements-à-la-mode-posant-luxe-coiffure-glamour.png,
360_F_135155053_CeD16Z9JjSBN66YLw8bv1x0UzNT8bWyd.jpg,Swin2SR_realworld_x4,ok,240,360,960,1440,683,1024,1.1335,1.407,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/360_F_135155053_CeD16Z9JjSBN66YLw8bv1x0UzNT8bWyd.png,
closeup-pretty-young-woman-with-long-hair-standing-against-isolated-background_662251-535.avif.png,Swin2SR_realworld_x4,ok,626,418,2504,1672,1024,684,2.2187,3.1087,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/closeup-pretty-young-woman-with-long-hair-standing-against-isolated-background_662251-535.avif.png,
istockphoto-1035693082-612x612.jpg,Swin2SR_realworld_x4,ok,408,612,1632,2448,683,1024,2.2909,2.663,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/istockphoto-1035693082-612x612.png,
istockphoto-1303500951-612x612.jpg,Swin2SR_realworld_x4,ok,408,612,1632,2448,683,1024,2.1273,2.6783,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/istockphoto-1303500951-612x612.png,
istockphoto-695789866-612x612.jpg,Swin2SR_realworld_x4,ok,408,612,1632,2448,683,1024,2.1564,2.4865,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/istockphoto-695789866-612x612.png,
portrait-of-cheerful-happy-asian-woman-posing-on-white-background-photo.jpg,Swin2SR_realworld_x4,ok,234,350,936,1400,685,1024,1.1607,1.6498,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/portrait-of-cheerful-happy-asian-woman-posing-on-white-background-photo.png,
woman-portrait-and-smile-for-style-in-studio-casual-aesthetic-and-confidence-on-white-background-happy-female-person-outfit-and-fashion-on-mockup-space-cool-and-full-body-for-trendy-clothes-photo.jpg,Swin2SR_realworld_x4,ok,263,350,1052,1400,769,1024,1.4392,1.7449,/tmp/low_res_batch_20260410/results_swin/Swin2SR_realworld_x4/woman-portrait-and-smile-for-style-in-studio-casual-aesthetic-and-confidence-on-white-background-happy-female-person-outfit-and-fashion-on-mockup-space-cool-and-full-body-for-trendy-clothes-photo.png,
