image_name,model,status,input_width,input_height,native_width,native_height,output_width,output_height,inference_seconds,total_seconds,output_path,error
765DC106-B404-41E5-B1DF-199C5E82FABE 2.PNG,Real-ESRGAN_x4plus,ok,533,800,2132,3200,682,1024,0.7091,1.9884,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/765DC106-B404-41E5-B1DF-199C5E82FABE 2.png,
7d2c7f05-ae77-41a1-948e-c179626e4568.jpg,Real-ESRGAN_x4plus,ok,576,1024,2304,4096,576,1024,0.7874,2.0712,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/7d2c7f05-ae77-41a1-948e-c179626e4568.png,
depositphotos_193329662-stock-photo-young-crazy-man-satisfied-expression.jpg,Real-ESRGAN_x4plus,ok,433,600,1732,2400,739,1024,0.3587,0.6259,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/depositphotos_193329662-stock-photo-young-crazy-man-satisfied-expression.png,
gettyimages-1277789459-170667a.jpg,Real-ESRGAN_x4plus,ok,339,508,1356,2032,683,1024,0.2357,1.0042,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/gettyimages-1277789459-170667a.png,
gettyimages-1386178864-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3329,1.9665,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/gettyimages-1386178864-612x612.png,
gettyimages-1457156726-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3266,1.9333,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/gettyimages-1457156726-612x612.png,
gettyimages-2155141672-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3382,2.5043,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/gettyimages-2155141672-612x612.png,
gettyimages-2207333436-612x612.jpg,Real-ESRGAN_x4plus,ok,407,612,1628,2448,681,1024,0.3331,2.2711,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/gettyimages-2207333436-612x612.png,
istockphoto-1180106547-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3374,1.9131,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/istockphoto-1180106547-612x612.png,
istockphoto-1184187907-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3262,1.8679,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/istockphoto-1184187907-612x612.png,
istockphoto-1332517953-612x612.jpg,Real-ESRGAN_x4plus,ok,418,612,1672,2448,699,1024,0.3508,2.1753,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/istockphoto-1332517953-612x612.png,
istockphoto-2194356461-612x612.jpg,Real-ESRGAN_x4plus,ok,408,612,1632,2448,683,1024,0.3364,1.9429,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410_v2/results/Real-ESRGAN_x4plus/istockphoto-2194356461-612x612.png,
